Run	GEO_Accession	Patient_ID	Accession	Title
SRR1294492	GSM1395399	MGH26	GSM1395399	MGH26_A01
SRR1294493	GSM1395400	MGH26	GSM1395400	MGH26_A02
SRR1294494	GSM1395401	MGH26	GSM1395401	MGH26_A03
SRR1294495	GSM1395402	MGH26	GSM1395402	MGH26_A04
SRR1294496	GSM1395403	MGH26	GSM1395403	MGH26_A05
SRR1294497	GSM1395404	MGH26	GSM1395404	MGH26_A06
SRR1294498	GSM1395405	MGH26	GSM1395405	MGH26_A07
SRR1294499	GSM1395406	MGH26	GSM1395406	MGH26_A08
SRR1294500	GSM1395407	MGH26	GSM1395407	MGH26_A09
SRR1294501	GSM1395408	MGH26	GSM1395408	MGH26_A10
SRR1294502	GSM1395409	MGH26	GSM1395409	MGH26_A11
SRR1294503	GSM1395410	MGH26	GSM1395410	MGH26_A12
SRR1294504	GSM1395411	MGH26	GSM1395411	MGH26_B01
SRR1294505	GSM1395412	MGH26	GSM1395412	MGH26_B02
SRR1294506	GSM1395413	MGH26	GSM1395413	MGH26_B03
SRR1294507	GSM1395414	MGH26	GSM1395414	MGH26_B04
SRR1294508	GSM1395415	MGH26	GSM1395415	MGH26_B05
SRR1294509	GSM1395416	MGH26	GSM1395416	MGH26_B06
SRR1294510	GSM1395417	MGH26	GSM1395417	MGH26_B07
SRR1294511	GSM1395418	MGH26	GSM1395418	MGH26_B08
SRR1294512	GSM1395419	MGH26	GSM1395419	MGH26_B09
SRR1294513	GSM1395420	MGH26	GSM1395420	MGH26_B10
SRR1294514	GSM1395421	MGH26	GSM1395421	MGH26_B11
SRR1294515	GSM1395422	MGH26	GSM1395422	MGH26_B12
SRR1294516	GSM1395423	MGH26	GSM1395423	MGH26_C01
SRR1294517	GSM1395424	MGH26	GSM1395424	MGH26_C02
SRR1294518	GSM1395425	MGH26	GSM1395425	MGH26_C03
SRR1294519	GSM1395426	MGH26	GSM1395426	MGH26_C04
SRR1294520	GSM1395427	MGH26	GSM1395427	MGH26_C05
SRR1294521	GSM1395428	MGH26	GSM1395428	MGH26_C06
SRR1294522	GSM1395429	MGH26	GSM1395429	MGH26_C07
SRR1294523	GSM1395430	MGH26	GSM1395430	MGH26_C08
SRR1294524	GSM1395431	MGH26	GSM1395431	MGH26_C09
SRR1294525	GSM1395432	MGH26	GSM1395432	MGH26_C10
SRR1294526	GSM1395433	MGH26	GSM1395433	MGH26_C11
SRR1294527	GSM1395434	MGH26	GSM1395434	MGH26_C12
SRR1294528	GSM1395435	MGH26	GSM1395435	MGH26_D01
SRR1294529	GSM1395436	MGH26	GSM1395436	MGH26_D02
SRR1294530	GSM1395437	MGH26	GSM1395437	MGH26_D03
SRR1294531	GSM1395438	MGH26	GSM1395438	MGH26_D04
SRR1294532	GSM1395439	MGH26	GSM1395439	MGH26_D05
SRR1294533	GSM1395440	MGH26	GSM1395440	MGH26_D06
SRR1294534	GSM1395441	MGH26	GSM1395441	MGH26_D07
SRR1294535	GSM1395442	MGH26	GSM1395442	MGH26_D08
SRR1294536	GSM1395443	MGH26	GSM1395443	MGH26_D09
SRR1294537	GSM1395444	MGH26	GSM1395444	MGH26_D10
SRR1294538	GSM1395445	MGH26	GSM1395445	MGH26_D11
SRR1294539	GSM1395446	MGH26	GSM1395446	MGH26_D12
SRR1294540	GSM1395447	MGH26	GSM1395447	MGH26_E01
SRR1294541	GSM1395448	MGH26	GSM1395448	MGH26_E02
